timestamp,run_type,scale_factor,completed_vehicles,avg_travel_time,avg_wait_time,throughput_vpm,total_system_wait_time
2025-08-17 16:09:19,fixed,2.0,80,31.70,11.20,10.67,895.75
2025-08-17 16:10:30,optimized,2.0,80,30.01,11.23,10.67,898.77
2025-08-17 16:10:52,fixed,4.0,150,31.11,10.85,20.00,1628.10
2025-08-17 16:11:40,optimized,4.0,150,31.76,6.75,20.00,1013.14
2025-08-17 16:11:56,fixed,6.0,230,35.52,13.71,30.67,3152.60
2025-08-17 16:12:46,optimized,6.0,230,29.25,16.10,30.67,3703.31
2025-08-17 16:28:29,optimized,2.0,80,30.95,9.33,10.67,746.13
2025-08-17 16:31:21,optimized,4.0,150,38.11,14.89,20.00,2233.50
2025-08-17 16:34:19,optimized,6.0,230,19.50,6.39,30.67,1469.14
2025-08-17 16:56:39,optimized,2.0,80,28.11,5.47,10.67,437.63
2025-08-17 17:02:11,optimized,4.0,150,23.93,7.71,20.00,1156.94
2025-08-17 17:09:02,optimized,4.0,150,32.82,10.91,20.00,1635.80
2025-08-17 17:24:02,optimized,2.0,80,26.32,8.79,10.67,703.31
2025-08-17 17:27:39,optimized,4.0,150,28.59,7.68,20.00,1152.57
2025-08-17 17:30:23,optimized,6.0,230,28.75,10.51,30.67,2417.87
2025-08-17 17:35:15,optimized,4.0,150,38.11,11.23,20.00,1684.03
